Date,Open,High,Low,Close,Adj Close,Volume
2020-06-12,34.110001,34.110001,32.529999,33.619999,32.950214,49600
2020-06-15,32.209999,33.910000,32.060001,33.770000,33.097229,35100
2020-06-16,35.090000,35.919998,34.169998,35.029999,34.332123,52900
2020-06-17,34.990002,34.990002,33.200001,33.320000,32.656193,43800
2020-06-18,32.910000,33.869999,32.910000,33.439999,32.773800,61500
2020-06-19,33.770000,33.770000,32.110001,33.009998,32.352364,164200
2020-06-22,32.720001,33.500000,32.480000,33.480000,32.813007,135300
2020-06-23,33.980000,33.980000,32.840000,32.919998,32.264160,34200
2020-06-24,32.380001,32.380001,31.770000,32.009998,31.372290,69200
2020-06-25,31.680000,33.209999,31.400000,33.209999,32.548386,52900
2020-06-26,33.209999,33.209999,31.360001,32.369999,31.725119,147200
2020-06-29,32.869999,33.570000,32.650002,33.570000,32.901211,84100
2020-06-30,33.139999,34.799999,33.139999,34.540001,33.851891,40600
2020-07-01,34.590000,34.599998,32.779999,32.980000,32.322964,49900
2020-07-02,33.990002,36.500000,33.689999,33.970001,33.293243,118200
2020-07-06,34.849998,35.110001,33.759998,34.070000,33.391251,38300
2020-07-07,33.740002,34.000000,31.820000,32.580002,31.930937,44200
2020-07-08,32.459999,33.119999,31.510000,32.189999,31.548702,45600
2020-07-09,32.189999,33.680000,31.330000,31.549999,30.921453,60100
2020-07-10,31.549999,32.980000,31.549999,32.970001,32.313164,59400
2020-07-13,33.529999,34.500000,32.790001,33.930000,33.254040,59200
2020-07-14,33.599998,34.070000,32.779999,33.380001,33.036308,65400
2020-07-15,34.230000,35.389999,33.959999,35.169998,34.807873,73700
2020-07-16,34.730000,35.669998,34.680000,34.990002,34.629730,42200
2020-07-17,34.869999,35.000000,33.770000,33.810001,33.461880,42100
2020-07-20,33.520000,33.590000,32.549999,32.919998,32.581039,26500
2020-07-21,33.220001,34.900002,33.220001,34.770000,34.411995,43800
2020-07-22,34.389999,34.750000,33.759998,34.000000,33.649921,47000
2020-07-23,33.980000,34.540001,33.869999,34.259998,33.907242,76600
2020-07-24,34.310001,34.570000,33.619999,33.639999,33.293629,58800
2020-07-27,33.400002,34.180000,32.570000,32.900002,32.561249,30800
2020-07-28,32.009998,32.580002,31.900000,31.969999,31.640823,56800
2020-07-29,31.920000,32.650002,31.400000,32.529999,32.195057,60100
